GeneID	Base mean	log2(FC)	StdErr		Wald-Stats	P-value	P-adjust
gene-J2S48_RS20875	4315.81681438768	-5.31277604772283	0.282849588864923	-18.783043203432	1.03948018792075e-78	3.64129909828638e-75
gene-J2S48_RS20100	16788.1202286816	-7.83932702663952	0.443555110899711	-17.6738511945858	6.66849877105031e-70	1.16798755974946e-66
gene-J2S48_RS06520	1608.58286999565	-5.01732632010801	0.308092615553483	-16.2851235856285	1.25874632210423e-59	1.46979612211037e-56
rna-J2S48_RS07170	905.14490994612	-7.58613005457905	0.480699084751336	-15.7814530861929	4.17465634690505e-56	3.6559552958021e-53
rna-J2S48_RS12480	1516.02432856795	-8.17988482244549	0.518923782203159	-15.7631719781983	5.57625452159202e-56	3.90672391782737e-53
MSTRG.97.1	30902.4723753917	-7.88355403818452	0.535109806657352	-14.7325912179229	3.98142074612419e-49	2.32448614561217e-46
gene-J2S48_RS16660	7572.99540398537	4.94963565465478	0.346186172311593	14.2976122402709	2.26446623480824e-46	1.13320360293333e-43
rna-J2S48_RS12475	621.267723961369	-5.49792972295853	0.385444097750519	-14.2638835438002	3.67425099600174e-46	1.60886265487426e-43
MSTRG.767.1	8955.62601054122	-4.71770142354329	0.342896633843819	-13.7583777672547	4.5359090841002e-43	1.76547661351145e-40
MSTRG.3499.1	4049.1759110769	-3.47543044752791	0.279308138996324	-12.4429974007082	1.52665501483206e-35	5.34787251695672e-33
gene-J2S48_RS13825	2713.92351101304	3.68728434334112	0.298731481335599	12.3431394871931	5.30463503171145e-35	1.68928513782593e-32
MSTRG.1235.1	7313.10096313686	-3.6644190306171	0.30157502459159	-12.1509366884067	5.67120933429621e-34	1.65552052483663e-31
gene-J2S48_RS00300	1287.44130367662	-4.00753320764466	0.330644839064168	-12.1203561470588	8.2400284788446e-34	2.22037075087636e-31
gene-J2S48_RS21085	1023.71707547629	-4.17471399982991	0.351414902434717	-11.8797295473417	1.50854647805672e-32	3.77459879473764e-30
gene-J2S48_RS18870	3790.70479426562	-3.53995948243459	0.301613788935432	-11.7367295935943	8.26198949458113e-32	1.92944994663451e-29
gene-J2S48_RS02320	382.006073064233	-5.29902268976086	0.452109457425647	-11.7206632215437	9.98869170685452e-32	2.18689919056946e-29
gene-J2S48_RS10185	45247.2998548647	6.33665524360131	0.553854532175425	11.4410100044	2.60831204813937e-30	5.37465712037189e-28
gene-J2S48_RS13845	3299.89762144301	3.15449755046457	0.277112384148568	11.3834593143746	5.05538264212897e-30	9.83833633076544e-28
gene-J2S48_RS20595	2320.37298380218	3.47129315572048	0.30572335955586	11.3543602319542	7.05544575195054e-30	1.30080139310962e-27
gene-J2S48_RS02120	350.654888207107	-4.78021666793393	0.421550793698795	-11.3395983103034	8.35269695445854e-30	1.46297487157341e-27
gene-J2S48_RS14420	4456.22097244858	-3.66956837494902	0.326642974141489	-11.2341873710699	2.77031069385307e-29	4.62114207646062e-27
gene-J2S48_RS20105	409.630729458551	-4.12945197161383	0.374233416870206	-11.0344287427598	2.60702922035449e-28	4.15110152677353e-26
gene-J2S48_RS20885	1563.75251805243	-4.04262623699603	0.366702439453965	-11.024268731388	2.91881080206549e-28	4.44547575636322e-26
